Timestamp,Source_IP,Source_Port,Destination_IP,Destination_Port,Protocol,Packet_Length,Flags,IP_Header_Len,TCP_Header_Len,ARP_Opcode,Eth_Dst,ARP_Src_MAC,ARP_Src_IP
1765587967.843819,10.79.60.182,8084,13.227.185.48,443,6,78,FPA,20,20,0,0e:5f:c6:00:1b:6b,,
1765587968.008063,10.79.60.182,57434,8.8.8.8,53,17,82,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.008112,10.79.60.182,57434,8.8.4.4,53,17,82,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.008127,10.79.60.182,58518,8.8.8.8,53,17,82,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.008204,10.79.60.182,58518,8.8.4.4,53,17,82,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.210181,10.79.60.182,10323,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.21022,10.79.60.182,6088,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.210227,10.79.60.182,2570,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.349256,10.79.60.182,50348,8.8.8.8,53,17,92,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.349304,10.79.60.182,50348,8.8.4.4,53,17,92,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.350265,10.79.60.182,50579,8.8.8.8,53,17,92,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.350313,10.79.60.182,50579,8.8.4.4,53,17,92,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.357939,10.79.60.182,10580,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.358146,10.79.60.182,6736,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.358329,10.79.60.182,7162,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.495877,10.79.60.182,50967,8.8.8.8,53,17,87,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.495922,10.79.60.182,50967,8.8.4.4,53,17,87,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587968.528349,0.0.0.0,0,0.0.0.0,0,2054,60,,0,0,1,ff:ff:ff:ff:ff:ff,b4:8c:9d:91:4d:fb,172.20.10.2
1765587968.571136,10.79.60.182,9129,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.572096,10.79.60.182,5226,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.572118,10.79.60.182,6498,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.582748,10.79.60.182,9291,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.583096,10.79.60.182,12466,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587968.583245,10.79.60.182,2074,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.22054,10.79.60.182,3736,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.220582,10.79.60.182,12083,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.220591,10.79.60.182,7869,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.359837,10.79.60.182,10580,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.359901,10.79.60.182,6736,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.359959,10.79.60.182,7162,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.445279,10.79.60.182,10804,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.445319,10.79.60.182,3318,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.445327,10.79.60.182,3765,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.549883,0.0.0.0,0,0.0.0.0,0,2054,60,,0,0,1,ff:ff:ff:ff:ff:ff,b4:8c:9d:91:4d:fb,172.20.10.2
1765587969.583699,10.79.60.182,9291,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.583748,10.79.60.182,12466,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587969.583756,10.79.60.182,2074,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587970.000505,10.79.60.182,60083,8.8.8.8,53,17,82,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587970.000892,10.79.60.182,57732,8.8.8.8,53,17,82,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587970.103534,8.8.8.8,53,10.79.60.182,3736,6,66,SA,20,32,0,b4:8c:9d:91:4d:fb,,
1765587970.103714,10.79.60.182,3736,8.8.8.8,53,6,54,A,20,20,0,0e:5f:c6:00:1b:6b,,
1765587970.103875,10.79.60.182,3736,8.8.8.8,53,6,56,PA,20,20,0,0e:5f:c6:00:1b:6b,,
1765587970.103904,10.79.60.182,3736,8.8.8.8,53,6,91,PA,20,20,0,0e:5f:c6:00:1b:6b,,
1765587970.173709,10.79.60.182,63834,8.8.8.8,53,17,77,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587970.173709,10.79.60.182,54320,8.8.8.8,53,17,77,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587970.173753,10.79.60.182,54320,8.8.4.4,53,17,77,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587970.173755,10.79.60.182,63834,8.8.4.4,53,17,77,,20,0,0,0e:5f:c6:00:1b:6b,,
1765587970.307182,8.8.8.8,53,10.79.60.182,3736,6,66,SA,20,32,0,b4:8c:9d:91:4d:fb,,
1765587970.307249,10.79.60.182,3736,8.8.8.8,53,6,66,A,20,32,0,0e:5f:c6:00:1b:6b,,
1765587970.378777,10.79.60.182,14290,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587970.378976,10.79.60.182,8862,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587970.379102,10.79.60.182,3411,8.8.8.8,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587970.503925,0.0.0.0,0,0.0.0.0,0,2054,42,,0,0,1,b4:8c:9d:91:4d:fb,0e:5f:c6:00:1b:6b,10.79.60.122
1765587970.503962,0.0.0.0,0,0.0.0.0,0,2054,42,,0,0,2,0e:5f:c6:00:1b:6b,b4:8c:9d:91:4d:fb,10.79.60.182
1765587970.571097,10.79.60.182,9129,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587970.57208,10.79.60.182,5226,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587970.572171,10.79.60.182,6498,8.8.4.4,53,6,66,S,20,32,0,0e:5f:c6:00:1b:6b,,
1765587970.581137,0.0.0.0,0,0.0.0.0,0,2054,60,,0,0,1,ff:ff:ff:ff:ff:ff,b4:8c:9d:91:4d:fb,172.20.10.2
